feature,importance
numeric__dst_port,0.12960594904706857
numeric__src_port,0.11443175513623118
numeric__min_ttl,0.07494367907234022
numeric__max_ttl,0.07183826222495741
numeric__application_protocol,0.05997917772209001
numeric__tcp_win_max_out,0.05374769550516296
numeric__tcp_win_max_in,0.04590025688968791
numeric__flow_duration_ms,0.04329031619591846
numeric__min_ip_pkt_len,0.032364092775051666
numeric__protocol,0.031470386969859904
numeric__client_tcp_flags,0.02779720223992493
numeric__dns_query_id,0.0273713877404258
numeric__tcp_flags,0.02508511514633068
numeric__shortest_flow_pkt,0.022763318448052204
numeric__max_ip_pkt_len,0.02229504591546954
numeric__longest_flow_pkt,0.021707617511536235
numeric__bytes_per_packet,0.020314507079582468
numeric__server_tcp_flags,0.019654167544243234
numeric__bytes_per_second,0.010473840775800476
numeric__src_to_dst_avg_throughput,0.010429333379599098
numeric__byte_asymmetry,0.009766939959364682
numeric__in_bytes,0.009204773388840105
numeric__total_bytes,0.008935059669952266
numeric__num_pkts_up_to_128_bytes,0.008667716882031263
numeric__src_to_dst_second_bytes,0.008109775404309984
numeric__dns_ttl_answer,0.0074933974306823185
numeric__direction_byte_ratio,0.0063731071558102825
numeric__packets_per_second,0.006297684581572813
numeric__out_packets,0.006182368086174555
numeric__direction_packet_ratio,0.006131672030142343
numeric__duration_out,0.006048259407937662
numeric__num_pkts_128_to_256_bytes,0.005853429146144698
numeric__dns_query_type,0.005503363221198107
numeric__out_bytes,0.005465863820801616
numeric__duration_in,0.004664465575340706
numeric__dst_to_src_avg_throughput,0.004495620907215483
numeric__total_packets,0.004008071232214027
numeric__packet_asymmetry,0.0036633701698636535
numeric__icmp_type,0.003028233945446648
numeric__dst_to_src_second_bytes,0.0030278280004381567
numeric__icmp_ipv4_type,0.002967330774963637
numeric__in_packets,0.0028529691863454993
numeric__num_pkts_512_to_1024_bytes,0.0015957185712605498
numeric__num_pkts_256_to_512_bytes,0.0014678109818351604
numeric__ftp_command_ret_code,0.001081968385902268
numeric__num_pkts_1024_to_1514_bytes,0.0007325518584903677
numeric__retransmitted_in_pkts,0.000403535475354031
numeric__retransmitted_out_pkts,0.000201447338791751
numeric__retransmitted_out_bytes,0.00017106166103582167
numeric__retransmitted_in_bytes,0.00014149843120663452
