feature,importance
numeric__src_to_dst_second_bytes,0.5484331250190735
numeric__min_ip_pkt_len,0.0409088172018528
numeric__bytes_per_second,0.03729432448744774
numeric__ftp_command_ret_code,0.03155102953314781
numeric__server_tcp_flags,0.02155781351029873
numeric__max_ttl,0.02061980590224266
numeric__byte_asymmetry,0.01929711177945137
numeric__dns_ttl_answer,0.019085852429270744
numeric__bytes_per_packet,0.019019586965441704
numeric__client_tcp_flags,0.01593944802880287
numeric__dst_port,0.015596166253089905
numeric__packets_per_second,0.015524146147072315
numeric__tcp_win_max_in,0.014413786120712757
numeric__protocol,0.014061551541090012
numeric__shortest_flow_pkt,0.013422817923128605
numeric__src_port,0.012407851405441761
numeric__application_protocol,0.012180378660559654
numeric__direction_byte_ratio,0.011593756265938282
numeric__dst_to_src_second_bytes,0.00923123862594366
numeric__num_pkts_1024_to_1514_bytes,0.008374553173780441
numeric__tcp_flags,0.007675678003579378
numeric__total_packets,0.0071407221257686615
numeric__in_bytes,0.007024182006716728
numeric__longest_flow_pkt,0.007017096504569054
numeric__total_bytes,0.006931765470653772
numeric__src_to_dst_avg_throughput,0.006687672808766365
numeric__out_packets,0.006436521653085947
numeric__dns_query_type,0.005573976784944534
numeric__dst_to_src_avg_throughput,0.005112238693982363
numeric__num_pkts_up_to_128_bytes,0.004564724396914244
numeric__min_ttl,0.004307047929614782
numeric__max_ip_pkt_len,0.004208727274090052
numeric__tcp_win_max_out,0.003486516885459423
numeric__num_pkts_128_to_256_bytes,0.0029602714348584414
numeric__flow_duration_ms,0.0026225445326417685
numeric__direction_packet_ratio,0.0022159183863550425
numeric__out_bytes,0.002165319165214896
numeric__duration_in,0.0017720959149301052
numeric__icmp_type,0.0016871626721695065
numeric__in_packets,0.0015470620710402727
numeric__packet_asymmetry,0.001335801207460463
numeric__num_pkts_512_to_1024_bytes,0.0011972921201959252
numeric__num_pkts_256_to_512_bytes,0.0010701961582526565
numeric__duration_out,0.0010584908304736018
numeric__retransmitted_out_pkts,0.0009138155728578568
numeric__dns_query_id,0.0006813488435000181
numeric__retransmitted_in_bytes,0.0006387824541889131
numeric__icmp_ipv4_type,0.000596599536947906
numeric__retransmitted_in_pkts,0.0004668905748985708
numeric__retransmitted_out_bytes,0.0003902683383785188
numeric__missingindicator_src_to_dst_second_bytes,0.0
numeric__missingindicator_dst_to_src_second_bytes,0.0
