feature,importance
numeric__application_protocol,0.059260460028813196
numeric__dst_port,0.04578713691623813
numeric__src_port,0.04158573650546916
numeric__max_ip_pkt_len,0.04122145785760605
numeric__longest_flow_pkt,0.039650492030118736
numeric__tcp_win_max_in,0.03944609082462471
numeric__tcp_win_max_out,0.03808696211814324
numeric__direction_byte_ratio,0.03396250982498583
numeric__dns_query_id,0.03124625898725459
numeric__client_tcp_flags,0.030519907797153585
numeric__bytes_per_packet,0.02763255126527369
numeric__in_bytes,0.027546651537082134
numeric__max_ttl,0.025782782492898056
numeric__shortest_flow_pkt,0.02506930201208262
numeric__tcp_flags,0.024740565735866867
numeric__min_ttl,0.023932779948793642
numeric__byte_asymmetry,0.023648824283291126
numeric__bytes_per_second,0.023388155211656145
numeric__min_ip_pkt_len,0.022744065187914046
numeric__dst_to_src_avg_throughput,0.022229102886682426
numeric__total_bytes,0.021974612040062114
numeric__out_bytes,0.021710461870335464
numeric__src_to_dst_avg_throughput,0.02138107512522861
numeric__num_pkts_128_to_256_bytes,0.020865244491167573
numeric__server_tcp_flags,0.020447112705708505
numeric__src_to_dst_second_bytes,0.017474138485227744
numeric__flow_duration_ms,0.016719335962047558
numeric__packets_per_second,0.016603755841233594
numeric__num_pkts_up_to_128_bytes,0.016571675589638433
numeric__total_packets,0.01631502145300578
numeric__protocol,0.016258495285641508
numeric__direction_packet_ratio,0.01532488623726219
numeric__dns_query_type,0.015169274966180799
numeric__out_packets,0.014722104693821717
numeric__duration_in,0.014670461626219516
numeric__in_packets,0.014511917085907157
numeric__dst_to_src_second_bytes,0.012794605009222155
numeric__num_pkts_256_to_512_bytes,0.010361077000609698
numeric__packet_asymmetry,0.010294055904124138
numeric__duration_out,0.007609002352098457
numeric__num_pkts_1024_to_1514_bytes,0.007513294575949846
numeric__num_pkts_512_to_1024_bytes,0.0071778368713502514
numeric__dns_ttl_answer,0.0040790076758944515
numeric__icmp_type,0.0037653871717449037
numeric__icmp_ipv4_type,0.002084197633451009
numeric__ftp_command_ret_code,0.0014950310019276136
numeric__retransmitted_out_pkts,0.0014671902432082172
numeric__retransmitted_out_bytes,0.0014457630104050955
numeric__retransmitted_in_bytes,0.0009115056999395602
numeric__retransmitted_in_pkts,0.0006596209309583384
numeric__missingindicator_dst_to_src_second_bytes,7.294854466317956e-05
numeric__missingindicator_src_to_dst_second_bytes,6.810946381688154e-05
