feature,importance
numeric__dst_port,0.06297472327343853
numeric__src_port,0.05005888057200643
numeric__application_protocol,0.04953498933398131
numeric__in_bytes,0.04542587109401696
numeric__src_to_dst_second_bytes,0.042541307872879755
numeric__longest_flow_pkt,0.04111462590742362
numeric__max_ip_pkt_len,0.04025453833026332
numeric__src_to_dst_avg_throughput,0.039603422599408425
numeric__bytes_per_packet,0.03647050818725267
numeric__direction_byte_ratio,0.03345362532296321
numeric__shortest_flow_pkt,0.03339769434120669
numeric__client_tcp_flags,0.030595751538009683
numeric__dst_to_src_second_bytes,0.026527806638609926
numeric__total_bytes,0.02587112000921601
numeric__tcp_win_max_out,0.025775454483620973
numeric__dns_query_id,0.025468426045892195
numeric__out_bytes,0.02542084543859834
numeric__out_packets,0.025244675615194483
numeric__num_pkts_up_to_128_bytes,0.02494277930599552
numeric__tcp_flags,0.02407417362244882
numeric__packets_per_second,0.023170716108844712
numeric__bytes_per_second,0.02073757125169812
numeric__byte_asymmetry,0.018985371455691936
numeric__min_ttl,0.018207249564995413
numeric__dst_to_src_avg_throughput,0.0177848832892637
numeric__total_packets,0.01754149847954384
numeric__tcp_win_max_in,0.016988310113670125
numeric__min_ip_pkt_len,0.016758349302665364
numeric__server_tcp_flags,0.01586976613838797
numeric__in_packets,0.014898709471973637
numeric__dns_query_type,0.014358468291915553
numeric__max_ttl,0.014142829968952211
numeric__direction_packet_ratio,0.013386259322058395
numeric__num_pkts_128_to_256_bytes,0.011738454984206855
numeric__protocol,0.011223986414272434
numeric__duration_in,0.008089329058371945
numeric__packet_asymmetry,0.006423708703056703
numeric__duration_out,0.0054664062432559675
numeric__flow_duration_ms,0.005384989801380061
numeric__dns_ttl_answer,0.004829267569540429
numeric__num_pkts_256_to_512_bytes,0.0047633183981831625
numeric__num_pkts_1024_to_1514_bytes,0.0030898443651766706
numeric__num_pkts_512_to_1024_bytes,0.0026194216770365503
numeric__icmp_type,0.001243426437253514
numeric__retransmitted_out_pkts,0.0011652839956319046
numeric__icmp_ipv4_type,0.0009595585965983636
numeric__retransmitted_out_bytes,0.0006717337410770439
numeric__ftp_command_ret_code,0.0004871529140664996
numeric__retransmitted_in_bytes,0.00016000760898477197
numeric__retransmitted_in_pkts,9.866826617766323e-05
numeric__missingindicator_dst_to_src_second_bytes,2.447056162982774e-06
numeric__missingindicator_src_to_dst_second_bytes,1.7918774786584904e-06
