feature,importance
numeric__out_packets,0.16942565143108368
numeric__protocol,0.08221329748630524
numeric__dns_query_type,0.08012083172798157
numeric__tcp_flags,0.06654448807239532
numeric__min_ttl,0.05781193822622299
numeric__src_to_dst_second_bytes,0.04401327669620514
numeric__ftp_command_ret_code,0.043678440153598785
numeric__tcp_win_max_out,0.03811169043183327
numeric__tcp_win_max_in,0.037954606115818024
numeric__shortest_flow_pkt,0.031737908720970154
numeric__min_ip_pkt_len,0.02518571726977825
numeric__dst_port,0.02511550858616829
numeric__retransmitted_out_pkts,0.024460136890411377
numeric__dst_to_src_second_bytes,0.02439045161008835
numeric__server_tcp_flags,0.019995110109448433
numeric__application_protocol,0.016818836331367493
numeric__src_to_dst_avg_throughput,0.014856429770588875
numeric__num_pkts_128_to_256_bytes,0.01464018039405346
numeric__num_pkts_512_to_1024_bytes,0.012866901233792305
numeric__in_bytes,0.012599446810781956
numeric__direction_byte_ratio,0.012298081070184708
numeric__client_tcp_flags,0.01061212457716465
numeric__longest_flow_pkt,0.010014558210968971
numeric__num_pkts_up_to_128_bytes,0.009782000444829464
numeric__out_bytes,0.009761074557900429
numeric__dst_to_src_avg_throughput,0.009646742604672909
numeric__bytes_per_second,0.009029550477862358
numeric__byte_asymmetry,0.008482973091304302
numeric__total_bytes,0.008283059112727642
numeric__num_pkts_256_to_512_bytes,0.007913351058959961
numeric__max_ip_pkt_len,0.007879030890762806
numeric__bytes_per_packet,0.007878568023443222
numeric__retransmitted_in_pkts,0.006932402495294809
numeric__packets_per_second,0.0055703055113554
numeric__duration_out,0.005296721588820219
numeric__in_packets,0.005140505265444517
numeric__direction_packet_ratio,0.0035271651577204466
numeric__max_ttl,0.003274699440225959
numeric__total_packets,0.002549450844526291
numeric__packet_asymmetry,0.0024433552753180265
numeric__flow_duration_ms,0.0020377119071781635
numeric__num_pkts_1024_to_1514_bytes,0.001868566032499075
numeric__src_port,0.0017859552754089236
numeric__duration_in,0.0017780759371817112
numeric__dns_ttl_answer,0.0014086279552429914
numeric__dns_query_id,0.0006000841385684907
numeric__icmp_type,0.00047642432036809623
numeric__retransmitted_in_bytes,0.0004104811232537031
numeric__retransmitted_out_bytes,0.00039382753311656415
numeric__icmp_ipv4_type,0.0003836104297079146
numeric__missingindicator_src_to_dst_second_bytes,0.0
numeric__missingindicator_dst_to_src_second_bytes,0.0
