collected_at,hostname,os,agent_version,cpu_percent,memory_percent,logged_in_user,src_ip,dst_ip,src_port,dst_port,protocol,application_protocol,in_bytes,out_bytes,in_packets,out_packets,total_bytes,total_packets,flow_duration_ms,bytes_per_packet,packets_per_second,bytes_per_second,direction_byte_ratio,direction_packet_ratio,packet_asymmetry,byte_asymmetry,tcp_flags,client_tcp_flags,server_tcp_flags,min_ttl,max_ttl,min_ip_pkt_len,max_ip_pkt_len,longest_flow_pkt,shortest_flow_pkt,num_pkts_up_to_128_bytes,num_pkts_128_to_256_bytes,num_pkts_256_to_512_bytes,num_pkts_512_to_1024_bytes,num_pkts_1024_to_1514_bytes,retransmitted_in_bytes,retransmitted_in_pkts,retransmitted_out_bytes,retransmitted_out_pkts,duration_in,duration_out,src_to_dst_avg_throughput,dst_to_src_avg_throughput,src_to_dst_second_bytes,dst_to_src_second_bytes,tcp_win_max_in,tcp_win_max_out,dns_query_id,dns_query_type,dns_ttl_answer,ftp_command_ret_code,icmp_type,icmp_ipv4_type,simulated_attack_type,is_simulated_attack,data_source
2026-08-11T11:32:04+00:00,WIN-LAPTOP-FIN,Windows Server 2022,vcoda-collector-0.1.0-sim,29.8,54.2,j.perera,192.168.1.114,192.168.1.111,65325,53,1,5,256450,14673,230,73,271123,303,27495.84,894.8,11.02,9860.51,17.4777,3.1507,157,241777,16,16,16,88,66,64,786,718,79,248,21,64,28,6,0,0,0,0,8331.32,11945.62,533.64,9326.87,14673,256450,30341,52472,8801,5,867,0,0,8,benign,False,SIMULATED
2026-08-11T23:32:22+00:00,WIN-SRV-DB01,Windows 11,vcoda-collector-0.1.0-sim,53.2,54.5,j.perera,192.168.1.52,192.168.1.41,26898,22,6,5,231,333270,3,5290,333501,5293,185.8,63.01,28487.74,1794953.51,0.0007,0.0006,5287,333039,2,2,16,116,53,79,952,611,82,4407,761,233,137,279,101,1,48,1,106.74,104.25,1793710.23,1243.28,333270,231,1104,65021,0,0,0,0,0,0,syn_flood,True,SIMULATED
2026-08-11T01:14:02+00:00,lnx-web01,Debian 12,vcoda-collector-0.1.0-sim,36.4,27.7,www-data,192.168.1.21,192.168.1.20,20182,443,1,16,99969,19437,141,57,119406,198,40401.41,603.06,4.9,2955.49,5.1432,2.4737,84,80532,16,16,18,71,69,59,735,1248,82,159,8,24,7,21,0,0,0,0,14446.07,26326.67,481.1,2474.39,19437,99969,60098,7223,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T19:45:18+00:00,WIN-DESKTOP02,Windows 11,vcoda-collector-0.1.0-sim,2.8,34.6,admin,192.168.1.66,37.193.178.91,7399,53,6,10,14730,110240,15,104,124970,119,10246.45,1050.17,11.61,12196.42,0.1336,0.1442,89,95510,16,16,16,110,36,45,923,894,72,88,17,7,6,10,0,0,0,0,5140.35,6148.96,10758.85,1437.57,110240,14730,47107,31000,20261,28,1499,0,0,0,benign,False,SIMULATED
2026-08-11T23:42:20+00:00,WIN-DESKTOP02,Windows 10,vcoda-collector-0.1.0-sim,36.4,49.7,admin,192.168.1.92,185.136.82.131,6570,443,6,3,4641,146471,17,247,151112,264,59425.23,572.39,4.44,2542.89,0.0317,0.0688,230,141830,16,16,18,123,125,97,1372,954,51,163,14,31,28,31,0,0,0,0,35292.05,31291.44,2464.79,78.1,146471,4641,19673,49143,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T08:21:52+00:00,lnx-monitoring,Ubuntu 24.04,vcoda-collector-0.1.0-sim,29.8,53.5,admin,192.168.1.88,93.50.220.205,4214,80,6,2,102102,50220,187,81,152322,268,45523.04,568.37,5.89,3346.04,2.0331,2.3086,106,51882,25,25,16,47,62,67,1064,1139,80,227,4,24,0,0,0,0,0,0,29945.26,25425.36,1103.18,2242.86,50220,102102,14718,51224,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T21:24:58+00:00,lnx-web02,Ubuntu 22.04,vcoda-collector-0.1.0-sim,12.1,40.7,svc_app,192.168.1.61,142.24.158.185,61376,443,6,10,108864,56817,144,177,165681,321,40835.72,516.14,7.86,4057.26,1.916,0.8136,33,52047,16,16,0,39,44,79,1360,680,59,110,28,19,2,21,0,0,0,0,16576.15,22222.55,1391.36,2665.9,56817,108864,24078,28034,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T16:36:27+00:00,lnx-web02,Ubuntu 22.04,vcoda-collector-0.1.0-sim,37.4,34.5,admin,192.168.1.112,138.198.188.35,7952,80,6,4,54875,48080,125,40,102955,165,45305.44,623.97,3.64,2272.46,1.1413,3.125,85,6795,25,25,16,37,63,68,1448,586,74,152,33,37,4,16,0,0,0,0,22628.06,22538.04,1061.24,1211.22,48080,54875,64156,19718,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T16:00:04+00:00,WIN-WORKSTN-HR,Windows Server 2022,vcoda-collector-0.1.0-sim,40.5,49.0,a.silva,192.168.1.53,165.190.96.67,9284,443,6,7,340452,42700,294,35,383152,329,35442.0,1164.6,9.28,10810.68,7.9731,8.4,259,297752,16,16,18,108,121,83,891,1272,59,89,36,79,30,15,0,0,0,0,19971.62,18492.21,1204.79,9605.89,42700,340452,30816,24881,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T12:37:42+00:00,WIN-DESKTOP02,Windows 11,vcoda-collector-0.1.0-sim,35.9,57.8,root,192.168.1.51,141.21.193.106,11736,443,6,2,294224,55284,259,68,349508,327,45381.26,1068.83,7.21,7701.59,5.322,3.8088,191,238940,16,16,18,127,37,79,1445,1347,63,34,74,74,31,39,0,0,0,0,14314.01,25965.69,1218.21,6483.38,55284,294224,1321,59950,0,0,0,0,0,0,benign,False,SIMULATED
